,ClosestCountries5,ClosestCountries10,ClosestCountries30
nan_Afghanistan,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait|nan_Azerbaijan|nan_India|nan_Nepal|nan_Armenia|nan_Iraq|Xinjiang_China|nan_Georgia|Tibet_China|nan_Saudi Arabia|nan_Syria|nan_Bhutan|nan_Yemen|nan_Bangladesh|nan_Jordan|nan_Lebanon|nan_Turkey|nan_West Bank and Gaza|nan_Israel|Qinghai_China|nan_Cyprus
Yukon_Canada,Northwest Territories_Canada|Alberta_Canada|British Columbia_Canada|Saskatchewan_Canada|Manitoba_Canada,Northwest Territories_Canada|Alberta_Canada|British Columbia_Canada|Saskatchewan_Canada|Manitoba_Canada|Utah_US|Grand Princess_Canada|Ontario_Canada|Greenland_Denmark|Quebec_Canada,Northwest Territories_Canada|Alberta_Canada|British Columbia_Canada|Saskatchewan_Canada|Manitoba_Canada|Utah_US|Grand Princess_Canada|Ontario_Canada|Greenland_Denmark|Quebec_Canada|nan_US|Newfoundland and Labrador_Canada|New Brunswick_Canada|Prince Edward Island_Canada|nan_Iceland|Nova Scotia_Canada|Saint Pierre and Miquelon_France|nan_Mexico|Faroe Islands_Denmark|Heilongjiang_China|nan_Sweden|nan_Finland|nan_Russia|nan_Norway|Bermuda_United Kingdom|nan_Bahamas|nan_United Kingdom|Jilin_China|nan_Cuba|Isle of Man_United Kingdom
nan_Kosovo,nan_North Macedonia|nan_Montenegro|nan_Serbia|nan_Albania|nan_Bosnia and Herzegovina,nan_North Macedonia|nan_Montenegro|nan_Serbia|nan_Albania|nan_Bosnia and Herzegovina|nan_Bulgaria|nan_Greece|nan_Romania|nan_Hungary|nan_Croatia,nan_North Macedonia|nan_Montenegro|nan_Serbia|nan_Albania|nan_Bosnia and Herzegovina|nan_Bulgaria|nan_Greece|nan_Romania|nan_Hungary|nan_Croatia|nan_Slovenia|nan_Slovakia|nan_San Marino|nan_Holy See|nan_Italy|nan_Austria|nan_Moldova|nan_Czechia|nan_Malta|nan_Ukraine|nan_Liechtenstein|nan_Poland|nan_Monaco|nan_Switzerland|nan_Turkey|nan_Germany|nan_Belarus|nan_Cyprus|nan_Luxembourg|nan_Tunisia
nan_Burma,nan_Bangladesh|Yunnan_China|nan_Laos|nan_Bhutan|nan_Thailand,nan_Bangladesh|Yunnan_China|nan_Laos|nan_Bhutan|nan_Thailand|Sichuan_China|Guizhou_China|Guangxi_China|Tibet_China|nan_Nepal,nan_Bangladesh|Yunnan_China|nan_Laos|nan_Bhutan|nan_Thailand|Sichuan_China|Guizhou_China|Guangxi_China|Tibet_China|nan_Nepal|nan_Vietnam|Hainan_China|nan_Cambodia|Chongqing_China|Qinghai_China|Hunan_China|Guangdong_China|Macau_China|Gansu_China|nan_India|Hong Kong_China|Hubei_China|Shaanxi_China|Ningxia_China|Jiangxi_China|Henan_China|Fujian_China|nan_Sri Lanka|Shanxi_China|Xinjiang_China
Anguilla_United Kingdom,St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|nan_Saint Kitts and Nevis|British Virgin Islands_United Kingdom,St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|nan_Saint Kitts and Nevis|British Virgin Islands_United Kingdom|nan_Antigua and Barbuda|Montserrat_United Kingdom|Virgin Islands_US|Guadeloupe_France|nan_Dominica,"St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|nan_Saint Kitts and Nevis|British Virgin Islands_United Kingdom|nan_Antigua and Barbuda|Montserrat_United Kingdom|Virgin Islands_US|Guadeloupe_France|nan_Dominica|Puerto Rico_US|Martinique_France|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Barbados|nan_Belize|nan_Grenada|nan_Dominican Republic|nan_Trinidad and Tobago|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|nan_Haiti|Aruba_Netherlands|Turks and Caicos Islands_United Kingdom|nan_Venezuela|nan_Jamaica|nan_Guyana|Bermuda_United Kingdom|nan_Bahamas|nan_Suriname"
British Virgin Islands_United Kingdom,Virgin Islands_US|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France,Virgin Islands_US|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|Puerto Rico_US|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France,"Virgin Islands_US|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|Puerto Rico_US|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France|nan_Dominica|Martinique_France|nan_Dominican Republic|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Grenada|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Barbados|nan_Belize|nan_Haiti|Turks and Caicos Islands_United Kingdom|Curacao_Netherlands|Aruba_Netherlands|nan_Trinidad and Tobago|nan_Jamaica|nan_Venezuela|nan_Bahamas|Bermuda_United Kingdom|nan_Guyana|nan_Cuba"
Turks and Caicos Islands_United Kingdom,nan_Haiti|nan_Dominican Republic|Puerto Rico_US|nan_Bahamas|nan_Jamaica,nan_Haiti|nan_Dominican Republic|Puerto Rico_US|nan_Bahamas|nan_Jamaica|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Cuba|Anguilla_United Kingdom|St Martin_France,"nan_Haiti|nan_Dominican Republic|Puerto Rico_US|nan_Bahamas|nan_Jamaica|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Cuba|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Cayman Islands_United Kingdom|Saint Barthelemy_France|Aruba_Netherlands|nan_Saint Kitts and Nevis|Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France|nan_Dominica|Bermuda_United Kingdom|Martinique_France|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Grenada|nan_Belize|nan_Barbados|nan_Trinidad and Tobago|nan_Honduras"
nan_MS Zaandam,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
nan_Botswana,nan_Zimbabwe|nan_Namibia|nan_Eswatini|nan_Zambia|nan_South Africa,nan_Zimbabwe|nan_Namibia|nan_Eswatini|nan_Zambia|nan_South Africa|nan_Mozambique|nan_Angola|nan_Malawi|nan_Congo (Kinshasa)|nan_Congo (Brazzaville),nan_Zimbabwe|nan_Namibia|nan_Eswatini|nan_Zambia|nan_South Africa|nan_Mozambique|nan_Angola|nan_Malawi|nan_Congo (Kinshasa)|nan_Congo (Brazzaville)|nan_Tanzania|nan_Burundi|nan_Rwanda|nan_Madagascar|Mayotte_France|nan_Uganda|nan_Gabon|nan_Kenya|nan_Equatorial Guinea|Reunion_France|nan_Sao Tome and Principe|nan_Central African Republic|nan_Cameroon|nan_South Sudan|nan_Mauritius|North Carolina_US|North Dakota_US|Connecticut_US|Colorado_US|California_US
nan_Burundi,nan_Rwanda|nan_Uganda|nan_Tanzania|nan_Congo (Kinshasa)|nan_Congo (Brazzaville),nan_Rwanda|nan_Uganda|nan_Tanzania|nan_Congo (Kinshasa)|nan_Congo (Brazzaville)|nan_Kenya|nan_South Sudan|nan_Malawi|nan_Zambia|nan_Central African Republic,nan_Rwanda|nan_Uganda|nan_Tanzania|nan_Congo (Kinshasa)|nan_Congo (Brazzaville)|nan_Kenya|nan_South Sudan|nan_Malawi|nan_Zambia|nan_Central African Republic|nan_Angola|nan_Sudan|nan_Mozambique|nan_Ethiopia|nan_Zimbabwe|Mayotte_France|nan_Somalia|nan_Gabon|nan_Botswana|nan_Djibouti|nan_Cameroon|nan_Equatorial Guinea|nan_Eritrea|nan_Chad|nan_Namibia|nan_Madagascar|nan_Eswatini|nan_Sao Tome and Principe|nan_Nigeria|nan_Seychelles
nan_Sierra Leone,nan_Guinea|nan_Liberia|nan_Guinea-Bissau|nan_Gambia|nan_Cote d'Ivoire,nan_Guinea|nan_Liberia|nan_Guinea-Bissau|nan_Gambia|nan_Cote d'Ivoire|nan_Senegal|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|nan_Ghana,nan_Guinea|nan_Liberia|nan_Guinea-Bissau|nan_Gambia|nan_Cote d'Ivoire|nan_Senegal|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|nan_Ghana|nan_Burkina Faso|nan_Mali|nan_Togo|nan_Cabo Verde|nan_Benin|Hawaii_US|Idaho_US|Illinois_US|Georgia_US|Kansas_US|Iowa_US|Kentucky_US|Louisiana_US|Indiana_US|Florida_US|Arizona_US|Connecticut_US|Colorado_US|California_US|Arkansas_US
"Bonaire, Sint Eustatius and Saba_Netherlands",Curacao_Netherlands|Aruba_Netherlands|nan_Venezuela|Puerto Rico_US|nan_Grenada,Curacao_Netherlands|Aruba_Netherlands|nan_Venezuela|Puerto Rico_US|nan_Grenada|nan_Dominican Republic|nan_Saint Vincent and the Grenadines|Virgin Islands_US|nan_Trinidad and Tobago|British Virgin Islands_United Kingdom,Curacao_Netherlands|Aruba_Netherlands|nan_Venezuela|Puerto Rico_US|nan_Grenada|nan_Dominican Republic|nan_Saint Vincent and the Grenadines|Virgin Islands_US|nan_Trinidad and Tobago|British Virgin Islands_United Kingdom|nan_Saint Lucia|nan_Saint Kitts and Nevis|nan_Dominica|Montserrat_United Kingdom|Martinique_France|Guadeloupe_France|Sint Maarten_Netherlands|St Martin_France|Saint Barthelemy_France|nan_Haiti|Anguilla_United Kingdom|nan_Antigua and Barbuda|nan_Barbados|nan_Belize|nan_Colombia|Turks and Caicos Islands_United Kingdom|nan_Jamaica|nan_Guyana|nan_Panama|Cayman Islands_United Kingdom
nan_Malawi,nan_Mozambique|nan_Zambia|nan_Tanzania|nan_Zimbabwe|Mayotte_France,nan_Mozambique|nan_Zambia|nan_Tanzania|nan_Zimbabwe|Mayotte_France|nan_Burundi|nan_Rwanda|nan_Botswana|nan_Madagascar|nan_Eswatini,nan_Mozambique|nan_Zambia|nan_Tanzania|nan_Zimbabwe|Mayotte_France|nan_Burundi|nan_Rwanda|nan_Botswana|nan_Madagascar|nan_Eswatini|nan_Kenya|nan_Uganda|nan_Congo (Kinshasa)|nan_Congo (Brazzaville)|nan_Angola|nan_Namibia|nan_South Africa|nan_South Sudan|Reunion_France|nan_Somalia|nan_Seychelles|nan_Ethiopia|nan_Mauritius|nan_Central African Republic|nan_Gabon|nan_Djibouti|nan_Sudan|nan_Equatorial Guinea|nan_Cameroon|nan_Eritrea
Falkland Islands (Malvinas)_United Kingdom,nan_Argentina|nan_Chile|nan_Uruguay|nan_Paraguay|nan_Bolivia,nan_Argentina|nan_Chile|nan_Uruguay|nan_Paraguay|nan_Bolivia|nan_Brazil|nan_Peru|nan_Ecuador|nan_Suriname|French Guiana_France,"nan_Argentina|nan_Chile|nan_Uruguay|nan_Paraguay|nan_Bolivia|nan_Brazil|nan_Peru|nan_Ecuador|nan_Suriname|French Guiana_France|nan_Guyana|nan_Colombia|nan_Venezuela|nan_South Africa|nan_Trinidad and Tobago|nan_Panama|nan_Grenada|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|nan_Saint Vincent and the Grenadines|Aruba_Netherlands|nan_Barbados|nan_Belize|nan_Costa Rica|nan_Namibia|nan_Saint Lucia|Martinique_France|nan_Dominica|Guadeloupe_France|nan_Nicaragua"
Saint Pierre and Miquelon_France,Prince Edward Island_Canada|Nova Scotia_Canada|Newfoundland and Labrador_Canada|New Brunswick_Canada|Quebec_Canada,Prince Edward Island_Canada|Nova Scotia_Canada|Newfoundland and Labrador_Canada|New Brunswick_Canada|Quebec_Canada|Bermuda_United Kingdom|Ontario_Canada|Greenland_Denmark|nan_Iceland|nan_Bahamas,Prince Edward Island_Canada|Nova Scotia_Canada|Newfoundland and Labrador_Canada|New Brunswick_Canada|Quebec_Canada|Bermuda_United Kingdom|Ontario_Canada|Greenland_Denmark|nan_Iceland|nan_Bahamas|Manitoba_Canada|Turks and Caicos Islands_United Kingdom|Anguilla_United Kingdom|British Virgin Islands_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Virgin Islands_US|Saint Barthelemy_France|Puerto Rico_US|nan_Saint Kitts and Nevis|nan_Antigua and Barbuda|nan_Dominican Republic|Montserrat_United Kingdom|nan_US|nan_Haiti|Guadeloupe_France|nan_Ireland|nan_Cuba|Faroe Islands_Denmark|nan_Dominica
nan_South Sudan,nan_Uganda|nan_Sudan|nan_Rwanda|nan_Ethiopia|nan_Kenya,nan_Uganda|nan_Sudan|nan_Rwanda|nan_Ethiopia|nan_Kenya|nan_Burundi|nan_Central African Republic|nan_Eritrea|nan_Djibouti|nan_Tanzania,nan_Uganda|nan_Sudan|nan_Rwanda|nan_Ethiopia|nan_Kenya|nan_Burundi|nan_Central African Republic|nan_Eritrea|nan_Djibouti|nan_Tanzania|nan_Congo (Kinshasa)|nan_Congo (Brazzaville)|nan_Somalia|nan_Chad|nan_Yemen|nan_Egypt|nan_Cameroon|nan_Malawi|nan_Gabon|nan_Saudi Arabia|nan_Equatorial Guinea|nan_Zambia|nan_Angola|nan_Nigeria|nan_Libya|Mayotte_France|nan_Mauritania|nan_Israel|nan_Jordan|nan_Niger
nan_Western Sahara,nan_Morocco|nan_Senegal|nan_Mali|nan_Gambia|nan_Cabo Verde,nan_Morocco|nan_Senegal|nan_Mali|nan_Gambia|nan_Cabo Verde|nan_Guinea-Bissau|Gibraltar_United Kingdom|nan_Algeria|nan_Guinea|nan_Portugal,nan_Morocco|nan_Senegal|nan_Mali|nan_Gambia|nan_Cabo Verde|nan_Guinea-Bissau|Gibraltar_United Kingdom|nan_Algeria|nan_Guinea|nan_Portugal|nan_Sierra Leone|nan_Burkina Faso|nan_Spain|nan_Liberia|nan_Cote d'Ivoire|nan_Ghana|nan_Togo|nan_Niger|nan_Benin|nan_Tunisia|nan_Andorra|nan_Mauritania|Federal Bureau of Prisons_US|US Military_US|Veteran Hospitals_US|nan_France|nan_Nigeria|nan_Monaco|nan_Malta|Channel Islands_United Kingdom
nan_Sao Tome and Principe,nan_Equatorial Guinea|nan_Gabon|nan_Cameroon|Kansas_US|Kentucky_US,nan_Equatorial Guinea|nan_Gabon|nan_Cameroon|Kansas_US|Kentucky_US|Louisiana_US|Maine_US|Maryland_US|Alaska_US|Recovered_Canada,nan_Equatorial Guinea|nan_Gabon|nan_Cameroon|Kansas_US|Kentucky_US|Louisiana_US|Maine_US|Maryland_US|Alaska_US|Recovered_Canada|Minnesota_US|Mississippi_US|Missouri_US|Montana_US|Massachusetts_US|Michigan_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|District of Columbia_US|Delaware_US|Connecticut_US|Colorado_US|California_US|Arkansas_US|Arizona_US
nan_Yemen,nan_Djibouti|nan_Eritrea|nan_Saudi Arabia|nan_Oman|nan_United Arab Emirates,nan_Djibouti|nan_Eritrea|nan_Saudi Arabia|nan_Oman|nan_United Arab Emirates|nan_Qatar|nan_Ethiopia|nan_Somalia|nan_Bahrain|nan_Kuwait,nan_Djibouti|nan_Eritrea|nan_Saudi Arabia|nan_Oman|nan_United Arab Emirates|nan_Qatar|nan_Ethiopia|nan_Somalia|nan_Bahrain|nan_Kuwait|nan_Iran|nan_Iraq|nan_Sudan|nan_Kenya|nan_South Sudan|nan_Jordan|nan_Israel|nan_Egypt|nan_West Bank and Gaza|nan_Syria|nan_Seychelles|nan_Lebanon|nan_Uganda|nan_Afghanistan|nan_Cyprus|nan_Pakistan|nan_Azerbaijan|nan_Armenia|nan_Rwanda|nan_Tanzania
American Samoa_US,nan_Fiji|New Caledonia_France|nan_New Zealand|Queensland_Australia|French Polynesia_France,nan_Fiji|New Caledonia_France|nan_New Zealand|Queensland_Australia|French Polynesia_France|New South Wales_Australia|Australian Capital Territory_Australia|nan_Papua New Guinea|Victoria_Australia|Tasmania_Australia,"nan_Fiji|New Caledonia_France|nan_New Zealand|Queensland_Australia|French Polynesia_France|New South Wales_Australia|Australian Capital Territory_Australia|nan_Papua New Guinea|Victoria_Australia|Tasmania_Australia|South Australia_Australia|Guam_US|Northern Mariana Islands_US|Northern Territory_Australia|nan_Timor-Leste|Grand Princess_Canada|Western Australia_Australia|nan_Japan|nan_Philippines|British Columbia_Canada|nan_Mexico|nan_Indonesia|nan_Brunei|nan_Korea, South|Utah_US|nan_Taiwan*|nan_Malaysia|Shanghai_China|Zhejiang_China|Fujian_China"
Guam_US,Northern Mariana Islands_US|nan_Papua New Guinea|nan_Philippines|nan_Japan|nan_Taiwan*,"Northern Mariana Islands_US|nan_Papua New Guinea|nan_Philippines|nan_Japan|nan_Taiwan*|nan_Korea, South|Zhejiang_China|Shanghai_China|Fujian_China|nan_Timor-Leste","Northern Mariana Islands_US|nan_Papua New Guinea|nan_Philippines|nan_Japan|nan_Taiwan*|nan_Korea, South|Zhejiang_China|Shanghai_China|Fujian_China|nan_Timor-Leste|Northern Territory_Australia|Jiangsu_China|Hong Kong_China|Jiangxi_China|Macau_China|nan_Brunei|Anhui_China|French Polynesia_France|Guangdong_China|Shandong_China|nan_Indonesia|nan_Malaysia|Liaoning_China|Hunan_China|Jilin_China|Hainan_China|Hubei_China|Henan_China|Tianjin_China|Guangxi_China"
Northern Mariana Islands_US,Guam_US|nan_Papua New Guinea|nan_Japan|nan_Philippines|nan_Taiwan*,"Guam_US|nan_Papua New Guinea|nan_Japan|nan_Philippines|nan_Taiwan*|nan_Korea, South|Shanghai_China|Zhejiang_China|Fujian_China|Jiangsu_China","Guam_US|nan_Papua New Guinea|nan_Japan|nan_Philippines|nan_Taiwan*|nan_Korea, South|Shanghai_China|Zhejiang_China|Fujian_China|Jiangsu_China|Jiangxi_China|Hong Kong_China|Anhui_China|nan_Timor-Leste|Northern Territory_Australia|Macau_China|Guangdong_China|nan_Brunei|Shandong_China|French Polynesia_France|Liaoning_China|Jilin_China|Hunan_China|Hubei_China|Henan_China|Hainan_China|Tianjin_China|nan_Malaysia|nan_Indonesia|Hebei_China"
Puerto Rico_US,Virgin Islands_US|British Virgin Islands_United Kingdom|Anguilla_United Kingdom|Sint Maarten_Netherlands|St Martin_France,Virgin Islands_US|British Virgin Islands_United Kingdom|Anguilla_United Kingdom|Sint Maarten_Netherlands|St Martin_France|nan_Dominican Republic|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda,"Virgin Islands_US|British Virgin Islands_United Kingdom|Anguilla_United Kingdom|Sint Maarten_Netherlands|St Martin_France|nan_Dominican Republic|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France|nan_Haiti|nan_Dominica|Turks and Caicos Islands_United Kingdom|Bonaire, Sint Eustatius and Saba_Netherlands|Martinique_France|Curacao_Netherlands|Aruba_Netherlands|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Grenada|nan_Belize|nan_Barbados|nan_Trinidad and Tobago|nan_Jamaica|nan_Venezuela|nan_Bahamas|nan_Cuba|Cayman Islands_United Kingdom|Bermuda_United Kingdom"
Virgin Islands_US,British Virgin Islands_United Kingdom|Puerto Rico_US|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands,British Virgin Islands_United Kingdom|Puerto Rico_US|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France,"British Virgin Islands_United Kingdom|Puerto Rico_US|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France|nan_Dominica|nan_Dominican Republic|Martinique_France|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Grenada|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Haiti|nan_Barbados|nan_Belize|Curacao_Netherlands|Turks and Caicos Islands_United Kingdom|Aruba_Netherlands|nan_Trinidad and Tobago|nan_Jamaica|nan_Venezuela|nan_Bahamas|Bermuda_United Kingdom|nan_Guyana|nan_Cuba"
Alabama_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
Alaska_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
Arizona_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
California_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
Colorado_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
Connecticut_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
Delaware_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
District of Columbia_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
